Canon_SMILES,chembl_id,activity_type,value,units,assay_chembl_id,assay_description
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,CHEMBL429,Log K',0.14,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,CHEMBL34259,Log K',0.77,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,CHEMBL822,Log K',1.17,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,CHEMBL1072,Log K',0.03,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,CHEMBL471,Log K',0.44,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,CHEMBL499,Log K',0.33,,CHEMBL702885,Binding constant against human serum albumin (HSA)
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,CHEMBL611,Log K',0.16,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN(C)CCCN1c2ccccc2CCc2ccccc21,CHEMBL11,Log K',0.75,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,CHEMBL65,Log K',0.08,,CHEMBL702885,Binding constant against human serum albumin (HSA)
C=CCc1ccccc1OCC(O)CNC(C)C,CHEMBL266195,Log K',0.04,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,CHEMBL374975,Log K',0.33,,CHEMBL702885,Binding constant against human serum albumin (HSA)
O=c1c2ccccc2[se]n1-c1ccccc1,CHEMBL51085,Log K',1.04,,CHEMBL702885,Binding constant against human serum albumin (HSA)
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,CHEMBL44657,Log K',0.49,,CHEMBL702885,Binding constant against human serum albumin (HSA)
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,CHEMBL741,Log K',0.13,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,CHEMBL517712,Log B/F,1.004,,CHEMBL702884,Ability to bind to human serum albumin (HSA)
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CHEMBL1082,Log K',1.21,,CHEMBL702885,Binding constant against human serum albumin (HSA)
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,Log K',0.47,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,CHEMBL1727,Log K',1.11,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,CHEMBL24,Log K',0.48,,CHEMBL702885,Binding constant against human serum albumin (HSA)
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,CHEMBL22,Log K',0.26,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,CHEMBL570,Log K',1.05,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,CHEMBL894,Log K',0.05,,CHEMBL702885,Binding constant against human serum albumin (HSA)
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,CHEMBL1464,Log K',0.04,,CHEMBL702885,Binding constant against human serum albumin (HSA)
