Drug,Y
Br.CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](NC(C)=N)C1,34.8
C=C(C(=O)OCC)C(O)c1ccccc1Cl,65.0
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CC(C)(C)C(=O)O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,99.0
C=C(C)[C@@H]1CC[C@]2(NCCC3(O)COC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(C6=CC[C@](CF)(C(=O)O)CC6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,88.0
C=C(C)[C@@H]1CC[C@]2(NCCN3CCS(=O)(=O)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(C6=CC[C@@](CF)(C(=O)O)CC6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,86.0
C=C(C)[C@@H]1CC[C@]2(NCC[C@]3(O)CC[C@@H](S(C)(=O)=O)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(C6=CC[C@](CF)(C(=O)O)CC6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,89.0
C=C(C)[C@@H]1CC[C@]2(NCC[C@]3(O)CC[C@](C)(O)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(C6=CC[C@](CF)(C(=O)O)CC6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,89.0
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,98.25
CC(=O)NC1C2CC3CC1CC(C2)C31OO[C@]2(CC[C@@H](c3ccc(OCC(=O)O)cc3)CC2)O1,98.2
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,99.5
CC(C)(C)NC(=O)c1nc(-c2ccccc2)cnc1N,98.5
CC(C)(C)c1ccc(NC(=O)N2CCN(c3c(Nc4cccc5ncccc45)c(=O)c3=O)CC2)cc1,98.0
CC(C)(C)c1nc2c(s1)CCc1nc(NC(=O)N3CCC[C@@]3(C)C(N)=O)sc1-2,91.9
CC(C)(C)c1nc2c(s1)CCc1nc(NC(=O)N3CCC[C@H]3C(N)=O)sc1-2,91.9
CC(C)(C)c1ncc2c(n1)-c1sc(NC(=O)N3CCC[C@@]3(C)C(N)=O)nc1CC2,90.3
CC(C)(C)c1ncc2c(n1)-c1sc(NC(=O)N3CC[C@@H]4C[C@@]43C(N)=O)nc1CC2,87.8
CC(C)(NC(=O)Nc1ccc(F)c(C(F)(F)F)c1)C(=O)O,94.3
CC(C)(O)C1CC2(CC(NC(=O)c3cnc4nc(C5CC5)ccc4c3)C2)C1,86.0
CC(C)(O)[C@H]1CC2(C[C@H](NC(=O)c3cnc4nc(C5CC5)ccc4c3)C2)C1,86.0
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3cc(C4CC4)ncc3c2)CC1,84.0
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3cc(N4CC(F)C4)ncc3c2)CC1,73.0
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3cc(N4CCC4)ncc3c2)CC1,79.0
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3cc(OC(F)F)ccc3c2)CC1,88.0
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3nc(C4CC4)ccc3c2)CC1,80.0
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3nc(C4CC4)ncc3c2)CC1,64.0
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3nc(N4CCC4)ccc3c2)CC1,80.0
CC(C)(O)[C@H]1CC[C@H](NC(=O)c2cnc3nc(N4CCC4)ncc3c2)CC1,54.0
CC(C)(O)[C@H]1C[C@H](NC(=O)c2cnc3cc(C4CC4)ncc3c2)C1,76.0
CC(C)(O)[C@H]1C[C@H](NC(=O)c2cnc3nc(C4CC4)c(Cl)cc3c2)C1,88.0
CC(C)(O)[C@H]1C[C@H](NC(=O)c2cnc3nc(C4CC4)ccc3c2)C1,74.0
CC(C)(O)[C@]12C[C@@](NC(=O)c3cnc4nc(C5CC5)ccc4c3)(C1)C2,69.0
CC(C)(O)c1cn(-c2ccc(-c3cc(F)c(CO)c(S(C)(=O)=O)c3)cc2)c(C(C)(C)c2cccc(F)c2Cl)n1,94.4
CC(C)(O)c1cn(-c2ccc(-c3cc(F)c(CO)c(S(C)(=O)=O)c3)cc2)c(C(C)(C)c2ccccc2Cl)n1,95.5
CC(C)(O)c1cn(-c2ccc(-c3cc(F)c(CO)c(S(C)(=O)=O)c3)cc2F)c(C(C)(C)c2c(Cl)cccc2Cl)n1,96.6
CC(C)(O)c1cn(-c2ccc(-c3ccc(CO)c(S(C)(=O)=O)c3)cc2)c(C(C)(C)c2ccccc2Cl)n1,96.1
CC(C)(O)c1cn(-c2ccc(-c3cccc(S(C)(=O)=O)c3)cc2)c(C(C)(C)c2c(Cl)cccc2Cl)n1,97.9
